股票代码,数据点数,预测状态,错误信息,当前价格,预测1天,预测涨跌幅(%),信心度,建议,建议信心度,建议评分
600326,20,成功,,12.39,12.38,-0.08,1.0,少量买入,中等,0
600380,20,成功,,12.15,12.13,-0.14,1.0,少量买入,中等,0
600487,20,成功,,21.72,21.79,0.32,1.0,少量买入,中等,0
600498,20,成功,,24.0,23.85,-0.62,1.0,少量买入,中等,1
601606,20,成功,,51.55,51.94,0.76,1.0,少量买入,中等,0
603366,20,成功,,10.16,10.21,0.49,1.0,少量买入,中等,0
603936,20,成功,,11.64,11.6,-0.36,1.0,少量买入,中等,0
000066,20,成功,,16.78,16.83,0.29,1.0,少量买入,中等,0
000532,20,成功,,14.66,14.71,0.31,1.0,观望,谨慎,-1
000713,20,成功,,6.89,6.88,-0.21,1.0,少量买入,中等,0
002174,20,成功,,13.15,13.22,0.55,1.0,少量买入,中等,0
002418,20,成功,,4.84,4.88,0.78,0.99,少量买入,中等,0
002624,20,成功,,17.5,17.47,-0.15,1.0,少量买入,中等,1
002878,20,成功,,18.51,18.55,0.24,1.0,少量买入,中等,0
