股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
000066,17.0,16.97,17.18,16.67,925337,1564926794.45,2.99,-0.59,-0.1,2.87,2025-09-29
000066,17.08,16.94,17.25,16.87,856672,1458426686.03,2.24,-0.18,-0.03,2.66,2025-09-30
000066,17.02,17.46,17.7,17.02,1625395,2837436287.64,4.01,3.07,0.52,5.04,2025-10-09
000066,17.35,16.71,17.36,16.64,1295529,2188719558.99,4.12,-4.3,-0.75,4.02,2025-10-10
000066,16.51,17.6,17.82,16.51,2395455,4200029811.4,7.84,5.33,0.89,7.43,2025-10-13
000066,17.3,16.88,17.56,16.8,1845831,3161733054.88,4.32,-4.09,-0.72,5.72,2025-10-14
000066,16.86,16.81,17.18,16.36,1154393,1936136591.34,4.86,-0.41,-0.07,3.58,2025-10-15
000066,16.62,16.26,16.68,16.25,968831,1588160939.9,2.56,-3.27,-0.55,3.0,2025-10-16
000066,16.31,15.96,16.37,15.84,719905,1156469630.69,3.26,-1.85,-0.3,2.23,2025-10-17
000066,16.16,16.01,16.23,15.86,518343,832311449.15,2.32,0.31,0.05,1.61,2025-10-20
000066,15.97,16.23,16.35,15.92,591090,955152503.65,2.69,1.37,0.22,1.83,2025-10-21
000066,16.12,16.05,16.2,16.01,391491,629676776.74,1.17,-1.11,-0.18,1.21,2025-10-22
000066,16.04,16.36,16.44,15.87,607275,980673076.2,3.55,1.93,0.31,1.88,2025-10-23
000066,16.57,16.46,16.67,16.31,733267,1205691546.0,2.2,0.61,0.1,2.27,2025-10-24
000066,16.54,16.61,16.71,16.46,775360,1286102016.2,1.52,0.91,0.15,2.4,2025-10-27
000066,16.5,16.42,16.68,16.4,603783,997641246.39,1.69,-1.14,-0.19,1.87,2025-10-28
000066,16.48,16.83,16.94,16.44,1011217,1694462358.97,3.05,2.5,0.41,3.13,2025-10-29
000066,16.67,16.98,17.5,16.52,1820741,3116929804.3,5.82,0.89,0.15,5.64,2025-10-30
000066,16.88,16.91,17.32,16.87,1102098,1881704072.95,2.65,-0.41,-0.07,3.42,2025-10-31
000066,16.84,16.78,16.93,16.61,526633,881847228.72,1.89,-0.77,-0.13,1.63,2025-11-03
