open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
18.35,18.36,18.41,18.33,0.05,0.01,1373,2522378.0,0.44,0.06,2025-12-04 14:00:00
18.36,18.35,18.38,18.32,-0.05,-0.01,1530,2807925.0,0.33,0.06,2025-12-04 14:05:00
18.35,18.3,18.36,18.28,-0.27,-0.05,2360,4321420.0,0.44,0.1,2025-12-04 14:10:00
18.32,18.32,18.33,18.3,0.11,0.02,1459,2672787.0,0.16,0.06,2025-12-04 14:15:00
18.32,18.32,18.33,18.29,0.0,0.0,1867,3417247.0,0.22,0.08,2025-12-04 14:20:00
18.32,18.29,18.32,18.29,-0.16,-0.03,2682,4907779.0,0.16,0.11,2025-12-04 14:25:00
18.29,18.29,18.31,18.29,0.0,0.0,2460,4500088.0,0.11,0.1,2025-12-04 14:30:00
18.3,18.29,18.3,18.28,0.0,0.0,1773,3242259.0,0.11,0.08,2025-12-04 14:35:00
18.28,18.27,18.29,18.27,-0.11,-0.02,2671,4883344.0,0.11,0.11,2025-12-04 14:40:00
18.27,18.22,18.28,18.22,-0.27,-0.05,4854,8857838.0,0.33,0.21,2025-12-04 14:45:00
18.23,18.21,18.24,18.19,-0.05,-0.01,8544,15562743.0,0.27,0.36,2025-12-04 14:50:00
18.21,18.19,18.22,18.18,-0.11,-0.02,10128,18427045.0,0.22,0.43,2025-12-04 14:55:00
18.18,18.17,18.19,18.16,-0.11,-0.02,8464,15382033.0,0.16,0.36,2025-12-04 15:00:00
18.15,18.26,18.33,18.01,0.5,0.09,12095,21981555.0,1.76,0.51,2025-12-05 09:35:00
18.3,18.11,18.3,18.1,-0.82,-0.15,7062,12874792.0,1.1,0.3,2025-12-05 09:40:00
18.08,18.2,18.23,18.07,0.5,0.09,4207,7640893.0,0.88,0.18,2025-12-05 09:45:00
18.22,18.26,18.28,18.18,0.33,0.06,4212,7680877.0,0.55,0.18,2025-12-05 09:50:00
18.24,18.27,18.3,18.23,0.05,0.01,2458,4489820.0,0.38,0.1,2025-12-05 09:55:00
18.26,18.3,18.3,18.24,0.16,0.03,3037,5547974.0,0.33,0.13,2025-12-05 10:00:00
18.3,18.3,18.31,18.28,0.0,0.0,2588,4735794.0,0.16,0.11,2025-12-05 10:05:00
18.3,18.27,18.3,18.26,-0.16,-0.03,1897,3467505.0,0.22,0.08,2025-12-05 10:10:00
18.27,18.29,18.3,18.27,0.11,0.02,1215,2221487.0,0.16,0.05,2025-12-05 10:15:00
18.3,18.32,18.35,18.29,0.16,0.03,1750,3207293.0,0.33,0.07,2025-12-05 10:20:00
18.33,18.36,18.41,18.32,0.22,0.04,3742,6873876.0,0.49,0.16,2025-12-05 10:25:00
18.36,18.37,18.41,18.36,0.05,0.01,2323,4271843.0,0.27,0.1,2025-12-05 10:30:00
18.37,18.4,18.4,18.37,0.16,0.03,1414,2600157.0,0.16,0.06,2025-12-05 10:35:00
18.39,18.38,18.4,18.38,-0.11,-0.02,1011,1859346.0,0.11,0.04,2025-12-05 10:40:00
18.38,18.32,18.38,18.31,-0.33,-0.06,2217,4067185.0,0.38,0.09,2025-12-05 10:45:00
18.31,18.28,18.33,18.28,-0.22,-0.04,1978,3619966.0,0.27,0.08,2025-12-05 10:50:00
18.28,18.3,18.32,18.28,0.11,0.02,1255,2296507.0,0.22,0.05,2025-12-05 10:55:00
18.3,18.3,18.31,18.29,0.0,0.0,1109,2029275.0,0.11,0.05,2025-12-05 11:00:00
18.31,18.29,18.31,18.29,-0.05,-0.01,1044,1910606.0,0.11,0.04,2025-12-05 11:05:00
18.29,18.29,18.29,18.27,0.0,0.0,1386,2533700.0,0.11,0.06,2025-12-05 11:10:00
18.29,18.36,18.36,18.28,0.38,0.07,959,1758244.0,0.44,0.04,2025-12-05 11:15:00
18.38,18.35,18.38,18.35,-0.05,-0.01,1150,2111782.0,0.16,0.05,2025-12-05 11:20:00
18.35,18.33,18.36,18.33,-0.11,-0.02,1305,2393395.0,0.16,0.06,2025-12-05 11:25:00
