open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,timestamps
13.75,13.71,13.78,13.66,1.03,0.14,8390,11519230.0,0.88,0.24,2025-10-20 09:45:00
13.72,13.77,13.78,13.72,0.44,0.06,3258,4478852.0,0.44,0.09,2025-10-20 10:00:00
13.78,13.76,13.78,13.74,-0.07,-0.01,2596,3573030.0,0.29,0.08,2025-10-20 10:15:00
13.77,13.77,13.78,13.74,0.07,0.01,2196,3022362.0,0.29,0.06,2025-10-20 10:30:00
13.77,13.83,13.84,13.77,0.44,0.06,3290,4544024.0,0.51,0.1,2025-10-20 10:45:00
13.84,13.82,13.85,13.8,-0.07,-0.01,1970,2724581.0,0.36,0.06,2025-10-20 11:00:00
13.81,13.83,13.83,13.76,0.07,0.01,2498,3446182.0,0.51,0.07,2025-10-20 11:15:00
13.82,13.77,13.82,13.77,-0.36,-0.05,1377,1899006.0,0.36,0.04,2025-10-20 13:15:00
13.77,13.79,13.8,13.75,0.15,0.02,1993,2745186.0,0.36,0.06,2025-10-20 13:30:00
13.78,13.82,13.85,13.77,0.22,0.03,2973,4107560.0,0.58,0.09,2025-10-20 13:45:00
13.82,13.84,13.87,13.81,0.14,0.02,3367,4661758.0,0.43,0.1,2025-10-20 14:00:00
13.84,13.82,13.87,13.8,-0.14,-0.02,2042,2826088.0,0.51,0.06,2025-10-20 14:15:00
13.82,13.84,13.85,13.79,0.14,0.02,1793,2478173.0,0.43,0.05,2025-10-20 14:30:00
13.84,13.85,13.86,13.82,0.07,0.01,3343,4626961.0,0.29,0.1,2025-10-20 14:45:00
13.86,13.87,13.88,13.85,0.14,0.02,4279,5933795.0,0.22,0.12,2025-10-20 15:00:00
13.87,13.92,13.94,13.8,0.36,0.05,6416,8916877.0,1.01,0.19,2025-10-21 09:45:00
13.92,14.08,14.08,13.91,1.15,0.16,9624,13448616.0,1.22,0.28,2025-10-21 10:00:00
14.08,14.06,14.12,14.03,-0.14,-0.02,4800,6758469.0,0.64,0.14,2025-10-21 10:15:00
14.06,14.08,14.1,14.05,0.14,0.02,2245,3158871.0,0.36,0.07,2025-10-21 10:30:00
14.09,14.09,14.12,14.08,0.07,0.01,2722,3838932.0,0.28,0.08,2025-10-21 10:45:00
14.09,14.08,14.1,14.07,-0.07,-0.01,2379,3351868.0,0.21,0.07,2025-10-21 11:00:00
14.09,14.11,14.11,14.08,0.21,0.03,1843,2597511.0,0.21,0.05,2025-10-21 11:15:00
14.14,14.16,14.16,14.11,0.07,0.01,2388,3375585.0,0.35,0.07,2025-10-21 13:15:00
14.14,14.11,14.14,14.1,-0.35,-0.05,1173,1655852.0,0.28,0.03,2025-10-21 13:30:00
14.1,14.11,14.13,14.09,0.0,0.0,1307,1844596.0,0.28,0.04,2025-10-21 13:45:00
14.12,14.14,14.14,14.1,0.21,0.03,1172,1655138.0,0.28,0.03,2025-10-21 14:00:00
14.14,14.15,14.15,14.13,0.07,0.01,1333,1885442.0,0.14,0.04,2025-10-21 14:15:00
14.15,14.16,14.16,14.14,0.07,0.01,1671,2365030.0,0.14,0.05,2025-10-21 14:30:00
14.15,14.15,14.16,14.14,-0.07,-0.01,2226,3149013.0,0.14,0.06,2025-10-21 14:45:00
14.15,14.16,14.17,14.13,0.07,0.01,4822,6823809.0,0.28,0.14,2025-10-21 15:00:00
14.1,14.13,14.16,14.07,-0.21,-0.03,4855,6856147.0,0.64,0.14,2025-10-22 09:45:00
14.13,14.21,14.22,14.1,0.57,0.08,4292,6076391.0,0.85,0.12,2025-10-22 10:00:00
14.19,14.23,14.24,14.19,0.14,0.02,2150,3056514.0,0.35,0.06,2025-10-22 10:15:00
14.23,14.29,14.29,14.22,0.42,0.06,4181,5958524.0,0.49,0.12,2025-10-22 10:30:00
14.29,14.23,14.29,14.21,-0.42,-0.06,1980,2820878.0,0.56,0.06,2025-10-22 10:45:00
14.24,14.18,14.24,14.18,-0.35,-0.05,1683,2389782.0,0.42,0.05,2025-10-22 11:00:00
14.18,14.17,14.18,14.15,-0.07,-0.01,1440,2039565.0,0.21,0.04,2025-10-22 11:15:00
