股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,timestamps
601606,47.28,46.62,47.3,45.37,390758,1796829951.0,4.11,-0.62,-0.29,5.4,2025-09-22
601606,46.7,44.65,46.8,43.52,448654,1997244281.0,7.04,-4.23,-1.97,6.19,2025-09-23
601606,44.35,44.07,44.49,43.71,261143,1151307012.0,1.75,-1.3,-0.58,3.61,2025-09-24
601606,44.07,42.84,44.18,42.73,330690,1427825785.0,3.29,-2.79,-1.23,4.57,2025-09-25
601606,43.1,42.44,44.5,42.41,499760,2162682117.0,4.88,-0.93,-0.4,6.9,2025-09-26
601606,42.0,41.93,42.54,41.44,359812,1505936647.0,2.59,-1.2,-0.51,4.97,2025-09-29
601606,41.93,42.68,43.12,41.84,342050,1454525131.0,3.05,1.79,0.75,4.72,2025-09-30
601606,42.0,42.91,43.25,41.85,329201,1397492112.0,3.28,0.54,0.23,4.55,2025-10-09
601606,43.06,47.2,47.2,42.65,891203,4055349329.0,10.6,10.0,4.29,12.31,2025-10-10
601606,47.3,51.92,51.92,47.3,1018542,5122562622.0,9.79,10.0,4.72,14.06,2025-10-13
601606,53.0,56.0,56.8,53.0,1424188,7846328585.0,7.32,7.86,4.08,19.66,2025-10-14
601606,56.01,51.88,56.02,50.4,964236,5008688965.0,10.04,-7.36,-4.12,13.31,2025-10-15
601606,50.3,53.1,54.85,50.3,874665,4658955986.0,8.77,2.35,1.22,12.08,2025-10-16
601606,50.56,49.57,51.93,49.5,673720,3398805031.0,4.58,-6.65,-3.53,9.3,2025-10-17
601606,49.32,48.31,50.47,47.83,540905,2648499366.0,5.33,-2.54,-1.26,7.47,2025-10-20
601606,48.07,48.88,49.17,47.63,400124,1937861738.0,3.19,1.18,0.57,5.52,2025-10-21
601606,48.5,48.15,48.88,47.8,161735,780982151.0,2.21,-1.49,-0.73,2.23,2025-10-22
